Epoch 001/50 | T.Loss: 1.5081 | V.Loss: 1.1092 | F1: 0.8273 | AUC: 0.9825 | LR: 1.00e-03 | t=24s
Epoch 002/50 | T.Loss: 1.3495 | V.Loss: 1.0344 | F1: 0.8392 | AUC: 0.9819 | LR: 1.00e-03 | t=24s
Epoch 003/50 | T.Loss: 1.2416 | V.Loss: 1.1423 | F1: 0.8517 | AUC: 0.9865 | LR: 1.00e-03 | t=24s
Epoch 004/50 | T.Loss: 1.2583 | V.Loss: 1.0710 | F1: 0.8557 | AUC: 0.9873 | LR: 1.00e-03 | t=25s
Epoch 005/50 | T.Loss: 1.2010 | V.Loss: 1.0621 | F1: 0.8854 | AUC: 0.9883 | LR: 1.00e-03 | t=25s
Epoch 006/50 | T.Loss: 1.2139 | V.Loss: 0.9641 | F1: 0.8809 | AUC: 0.9888 | LR: 1.00e-03 | t=23s
Epoch 007/50 | T.Loss: 1.2553 | V.Loss: 1.2333 | F1: 0.8826 | AUC: 0.9901 | LR: 1.00e-03 | t=25s
Epoch 008/50 | T.Loss: 1.1917 | V.Loss: 1.1464 | F1: 0.8764 | AUC: 0.9914 | LR: 1.00e-03 | t=25s
Epoch 009/50 | T.Loss: 1.1642 | V.Loss: 0.9592 | F1: 0.8896 | AUC: 0.9897 | LR: 1.00e-03 | t=23s
Epoch 010/50 | T.Loss: 1.2664 | V.Loss: 1.0278 | F1: 0.8713 | AUC: 0.9916 | LR: 1.00e-03 | t=25s
Epoch 011/50 | T.Loss: 1.1592 | V.Loss: 0.9689 | F1: 0.8909 | AUC: 0.9906 | LR: 1.00e-03 | t=25s
Epoch 012/50 | T.Loss: 1.1307 | V.Loss: 1.1115 | F1: 0.8883 | AUC: 0.9925 | LR: 1.00e-03 | t=23s
Epoch 013/50 | T.Loss: 1.1824 | V.Loss: 1.0225 | F1: 0.8969 | AUC: 0.9910 | LR: 1.00e-03 | t=25s
Epoch 014/50 | T.Loss: 1.1412 | V.Loss: 1.3126 | F1: 0.9057 | AUC: 0.9919 | LR: 1.00e-03 | t=25s
Epoch 015/50 | T.Loss: 1.1294 | V.Loss: 1.3776 | F1: 0.8801 | AUC: 0.9921 | LR: 1.00e-03 | t=33s
Epoch 016/50 | T.Loss: 1.1566 | V.Loss: 1.0033 | F1: 0.9037 | AUC: 0.9927 | LR: 1.00e-03 | t=26s
Epoch 017/50 | T.Loss: 1.1281 | V.Loss: 0.9817 | F1: 0.9158 | AUC: 0.9940 | LR: 1.00e-03 | t=23s
Epoch 018/50 | T.Loss: 1.1230 | V.Loss: 0.9528 | F1: 0.8941 | AUC: 0.9919 | LR: 1.00e-03 | t=25s
Epoch 019/50 | T.Loss: 1.0566 | V.Loss: 1.4399 | F1: 0.9104 | AUC: 0.9934 | LR: 1.00e-03 | t=25s
Epoch 020/50 | T.Loss: 1.1766 | V.Loss: 1.0578 | F1: 0.9030 | AUC: 0.9924 | LR: 1.00e-03 | t=24s
Epoch 021/50 | T.Loss: 1.1567 | V.Loss: 1.0369 | F1: 0.9018 | AUC: 0.9894 | LR: 1.00e-03 | t=25s
Epoch 022/50 | T.Loss: 1.1104 | V.Loss: 1.3708 | F1: 0.9091 | AUC: 0.9936 | LR: 1.00e-03 | t=25s
Epoch 023/50 | T.Loss: 1.1186 | V.Loss: 1.3513 | F1: 0.9206 | AUC: 0.9862 | LR: 5.00e-04 | t=24s
Epoch 024/50 | T.Loss: 1.1405 | V.Loss: 1.0411 | F1: 0.9165 | AUC: 0.9855 | LR: 5.00e-04 | t=25s
Epoch 025/50 | T.Loss: 1.1455 | V.Loss: 1.2810 | F1: 0.9198 | AUC: 0.9848 | LR: 5.00e-04 | t=25s
Epoch 026/50 | T.Loss: 1.1588 | V.Loss: 1.1295 | F1: 0.9126 | AUC: 0.9859 | LR: 5.00e-04 | t=24s
Epoch 027/50 | T.Loss: 1.1322 | V.Loss: 1.0436 | F1: 0.9154 | AUC: 0.9860 | LR: 5.00e-04 | t=25s
Epoch 028/50 | T.Loss: 1.0821 | V.Loss: 1.1790 | F1: 0.9160 | AUC: 0.9864 | LR: 5.00e-04 | t=25s
Epoch 029/50 | T.Loss: 1.1308 | V.Loss: 1.0797 | F1: 0.9164 | AUC: 0.9862 | LR: 2.50e-04 | t=25s
Epoch 030/50 | T.Loss: 1.1277 | V.Loss: 1.1846 | F1: 0.9100 | AUC: 0.9863 | LR: 2.50e-04 | t=24s
Epoch 031/50 | T.Loss: 1.1385 | V.Loss: 1.2554 | F1: 0.9151 | AUC: 0.9857 | LR: 2.50e-04 | t=25s
Epoch 032/50 | T.Loss: 1.0741 | V.Loss: 1.1979 | F1: 0.9138 | AUC: 0.9859 | LR: 2.50e-04 | t=25s
Epoch 033/50 | T.Loss: 1.0452 | V.Loss: 1.3016 | F1: 0.9144 | AUC: 0.9856 | LR: 2.50e-04 | t=25s
