Epoch 001/50 | [WARMUP 1/5] | T.Loss: 0.5986 | V.Loss: 0.1591 | F1: 0.8480 | AUC: 0.9905 | LR: 1.00e-03 | t=30s
Epoch 002/50 | [WARMUP 2/5] | T.Loss: 0.5152 | V.Loss: 0.1594 | F1: 0.8937 | AUC: 0.9944 | LR: 1.00e-03 | t=31s
Epoch 003/50 | [WARMUP 3/5] | T.Loss: 0.4966 | V.Loss: 0.2262 | F1: 0.9107 | AUC: 0.9952 | LR: 1.00e-03 | t=31s
Epoch 004/50 | [WARMUP 4/5] | T.Loss: 0.4550 | V.Loss: 0.1296 | F1: 0.8839 | AUC: 0.9959 | LR: 1.00e-03 | t=30s
Epoch 005/50 | [WARMUP 5/5] | T.Loss: 0.4888 | V.Loss: 0.1784 | F1: 0.9026 | AUC: 0.9963 | LR: 1.00e-03 | t=29s
Epoch 006/50 | [LGR+ABH] | T.Loss: 0.9184 | V.Loss: 0.3779 | F1: 0.8446 | AUC: 0.9916 | LR: 1.00e-03 | t=30s
Epoch 007/50 | [LGR+ABH] | T.Loss: 0.7186 | V.Loss: 0.2949 | F1: 0.9121 | AUC: 0.9944 | LR: 1.00e-03 | t=29s
Epoch 008/50 | [LGR+ABH] | T.Loss: 0.7239 | V.Loss: 0.2829 | F1: 0.8996 | AUC: 0.9950 | LR: 1.00e-03 | t=29s
Epoch 009/50 | [LGR+ABH] | T.Loss: 0.7358 | V.Loss: 0.2010 | F1: 0.9205 | AUC: 0.9942 | LR: 1.00e-03 | t=30s
Epoch 010/50 | [LGR+ABH] | T.Loss: 0.7118 | V.Loss: 0.2367 | F1: 0.9231 | AUC: 0.9939 | LR: 1.00e-03 | t=30s
Epoch 011/50 | [LGR+ABH] | T.Loss: 0.7367 | V.Loss: 0.3170 | F1: 0.9195 | AUC: 0.9922 | LR: 1.00e-03 | t=30s
Epoch 012/50 | [LGR+ABH] | T.Loss: 0.7294 | V.Loss: 0.2837 | F1: 0.9190 | AUC: 0.9914 | LR: 1.00e-03 | t=30s
Epoch 013/50 | [LGR+ABH] | T.Loss: 0.7162 | V.Loss: 0.2204 | F1: 0.9239 | AUC: 0.9940 | LR: 1.00e-03 | t=29s
Epoch 014/50 | [LGR+ABH] | T.Loss: 0.7220 | V.Loss: 0.1969 | F1: 0.9240 | AUC: 0.9931 | LR: 1.00e-03 | t=31s
Epoch 015/50 | [LGR+ABH] | T.Loss: 0.7312 | V.Loss: 0.2268 | F1: 0.9239 | AUC: 0.9943 | LR: 1.00e-03 | t=30s
