Epoch 001/50 | T.Loss: 0.6765 | V.Loss: 0.5240 | F1: 0.9200 | AUC: 0.9967 | LR: 1.00e-03 | t=97s
Epoch 002/50 | T.Loss: 0.6433 | V.Loss: 0.5229 | F1: 0.9238 | AUC: 0.9977 | LR: 1.00e-03 | t=94s
Epoch 003/50 | T.Loss: 0.6358 | V.Loss: 0.5240 | F1: 0.9275 | AUC: 0.9976 | LR: 1.00e-03 | t=94s
Epoch 004/50 | T.Loss: 0.6336 | V.Loss: 0.5250 | F1: 0.9274 | AUC: 0.9974 | LR: 1.00e-03 | t=95s
Epoch 005/50 | T.Loss: 0.6294 | V.Loss: 0.5209 | F1: 0.9347 | AUC: 0.9900 | LR: 1.00e-03 | t=94s
Epoch 006/50 | T.Loss: 0.6281 | V.Loss: 0.5253 | F1: 0.9276 | AUC: 0.9971 | LR: 1.00e-03 | t=94s
Epoch 007/50 | T.Loss: 0.6240 | V.Loss: 0.5215 | F1: 0.9333 | AUC: 0.9942 | LR: 1.00e-03 | t=93s
Epoch 008/50 | T.Loss: 0.6186 | V.Loss: 0.5252 | F1: 0.9268 | AUC: 0.9972 | LR: 1.00e-03 | t=95s
Epoch 009/50 | T.Loss: 0.6234 | V.Loss: 0.5219 | F1: 0.9336 | AUC: 0.9888 | LR: 1.00e-03 | t=96s
Epoch 010/50 | T.Loss: 0.6182 | V.Loss: 0.5189 | F1: 0.9340 | AUC: 0.9973 | LR: 1.00e-03 | t=95s
Epoch 011/50 | T.Loss: 0.6115 | V.Loss: 0.5195 | F1: 0.9368 | AUC: 0.9964 | LR: 5.00e-04 | t=95s
Epoch 012/50 | T.Loss: 0.6082 | V.Loss: 0.5206 | F1: 0.9364 | AUC: 0.9973 | LR: 5.00e-04 | t=95s
Epoch 013/50 | T.Loss: 0.6106 | V.Loss: 0.5191 | F1: 0.9370 | AUC: 0.9963 | LR: 5.00e-04 | t=96s
Epoch 014/50 | T.Loss: 0.6114 | V.Loss: 0.5213 | F1: 0.9378 | AUC: 0.9943 | LR: 5.00e-04 | t=96s
Epoch 015/50 | T.Loss: 0.6091 | V.Loss: 0.5192 | F1: 0.9370 | AUC: 0.9892 | LR: 5.00e-04 | t=96s
Epoch 016/50 | T.Loss: 0.6121 | V.Loss: 0.5189 | F1: 0.9374 | AUC: 0.9969 | LR: 5.00e-04 | t=95s
Epoch 017/50 | T.Loss: 0.6071 | V.Loss: 0.5202 | F1: 0.9380 | AUC: 0.9972 | LR: 5.00e-04 | t=94s
Epoch 018/50 | T.Loss: 0.6105 | V.Loss: 0.5202 | F1: 0.9406 | AUC: 0.9943 | LR: 5.00e-04 | t=96s
Epoch 019/50 | T.Loss: 0.6100 | V.Loss: 0.5190 | F1: 0.9388 | AUC: 0.9952 | LR: 5.00e-04 | t=96s
Epoch 020/50 | T.Loss: 0.6093 | V.Loss: 0.5227 | F1: 0.9329 | AUC: 0.9912 | LR: 5.00e-04 | t=96s
Epoch 021/50 | T.Loss: 0.6068 | V.Loss: 0.5193 | F1: 0.9371 | AUC: 0.9971 | LR: 5.00e-04 | t=95s
Epoch 022/50 | T.Loss: 0.6097 | V.Loss: 0.5195 | F1: 0.9384 | AUC: 0.9887 | LR: 5.00e-04 | t=95s
Epoch 023/50 | T.Loss: 0.6059 | V.Loss: 0.5201 | F1: 0.9383 | AUC: 0.9939 | LR: 5.00e-04 | t=95s
Epoch 024/50 | T.Loss: 0.6027 | V.Loss: 0.5185 | F1: 0.9397 | AUC: 0.9968 | LR: 2.50e-04 | t=96s
Epoch 025/50 | T.Loss: 0.6055 | V.Loss: 0.5187 | F1: 0.9397 | AUC: 0.9904 | LR: 2.50e-04 | t=100s
Epoch 026/50 | T.Loss: 0.6022 | V.Loss: 0.5207 | F1: 0.9380 | AUC: 0.9913 | LR: 2.50e-04 | t=94s
Epoch 027/50 | T.Loss: 0.6020 | V.Loss: 0.5187 | F1: 0.9407 | AUC: 0.9954 | LR: 2.50e-04 | t=94s
Epoch 028/50 | T.Loss: 0.6040 | V.Loss: 0.5201 | F1: 0.9374 | AUC: 0.9949 | LR: 2.50e-04 | t=94s
Epoch 029/50 | T.Loss: 0.6048 | V.Loss: 0.5186 | F1: 0.9405 | AUC: 0.9883 | LR: 2.50e-04 | t=93s
Epoch 030/50 | T.Loss: 0.6070 | V.Loss: 0.5196 | F1: 0.9379 | AUC: 0.9961 | LR: 2.50e-04 | t=92s
Epoch 031/50 | T.Loss: 0.6053 | V.Loss: 0.5203 | F1: 0.9389 | AUC: 0.9890 | LR: 2.50e-04 | t=93s
Epoch 032/50 | T.Loss: 0.6025 | V.Loss: 0.5196 | F1: 0.9392 | AUC: 0.9904 | LR: 2.50e-04 | t=93s
Epoch 033/50 | T.Loss: 0.6005 | V.Loss: 0.5197 | F1: 0.9405 | AUC: 0.9865 | LR: 1.25e-04 | t=93s
Epoch 034/50 | T.Loss: 0.6037 | V.Loss: 0.5198 | F1: 0.9401 | AUC: 0.9926 | LR: 1.25e-04 | t=95s
Epoch 035/50 | T.Loss: 0.6024 | V.Loss: 0.5213 | F1: 0.9386 | AUC: 0.9873 | LR: 1.25e-04 | t=96s
Epoch 036/50 | T.Loss: 0.5986 | V.Loss: 0.5210 | F1: 0.9391 | AUC: 0.9927 | LR: 1.25e-04 | t=97s
Epoch 037/50 | T.Loss: 0.5981 | V.Loss: 0.5205 | F1: 0.9391 | AUC: 0.9881 | LR: 1.25e-04 | t=96s
